Entity	Entity GL	Conso GL	Account Name
HMW	    61110060	61110060	ค่าแรงจูงใจพนักงาน-ศูนย์บริการ
HMW	    61110061	61110061	ค่าแรงจูงใจพนักงาน-ประกันภัย
CLIK	61110003	61110012	ค่าส่งเสริมการขาย-อื่น
CLIK	61110004	61110013	ค่าโฆษณา
CLIK	61110005	61110014	ค่าจัดกิจกรรมทางการตลาด
CLIK	61110020	61110013	ค่าโฆษณา
CLIK	61110021	61110021	ค่าจัดทำป้ายโฆษณา
HMW	    61110012	61110012	ค่าส่งเสริมการขาย-อื่น
HMW	    61110013	61110013	ค่าโฆษณา
HMW	    61110014	61110014	ค่าจัดกิจกรรมทางการตลาด
CLIK	61110007	61110016	ค่าเสื่อมราคา-ขาย
CLIK	61110017	61110028	ค่าเสื่อมราคาสัญญาเช่า-ขาย
HMW	    61110016	61110016	ค่าเสื่อมราคา-ขาย
HMW	    61110028	61110028	ค่าเสื่อมราคาสัญญาเช่า-ขาย
HMW	    61110032	61110032	ค่าซ่อมแซมบำรุงรักษา-ขาย
CLIK	61110018	61110018-1	ค่าธรรมเนียมธุรกรรมทางการเงิน-ขาย
CLIK	61110014	61110025	ค่าเช่าที่ดิน-ขาย
CLIK	61110019	61110012	ค่ารับรอง-บริการลูกค้า
HMW	    61110018	61110018	ค่าขนส่งรถยนต์และอะไหล่-ขาย
HMW	    61110025	61110025	ค่าเช่าที่ดิน-ขาย
HMW	    61110029	61110029	ค่าธรรมเนียมการขาย-ออนไลน์
HMW	    61110030	61110030	ค่าธุรกรรมการชำระเงิน-ออนไลน์
HMW	    61110031	61110031	ค่าขนส่ง-ออนไลน์
HMW	    61110034	61110034	ค่าใช้จ่ายเบ็ดเตล็ด-ขาย
HMW	    61110038	61110038	ค่าธรรมเนียมธุรกรรมทางการเงิน-ขาย
HMW	    51310012	51310012	ต้นทุนค่าบริการ-อื่น
HMW	    51310020	51310020	วัสดุสิ้นเปลืองใช้ไป-บริการ
HMW	    51310021	51310021	เครื่องเขียนแบบพิมพ์-บริการ
HMW	    51310023	51310023	ค่าเช่าที่ดิน-บริการ
HMW	    51310030	51310030	ค่าขนส่งพัสดุ-บริการ
HMW	    51310040	51310040	ค่าขนส่งอื่น-ไม่ใช่รถยนต์และอะไหล่-บริการ
HMW	    51310042	51310042	ค่าใช้จ่ายเบ็ดเตล็ด-บริการ
HMW	    51310010	51310010	เงินเดือน/ค่าล่วงเวลา-บริการ
HMW	    51310013	51310013	ค่านายหน้า-บริการ
HMW	    51310014	51310014	เบี้ยเลี้ยง-บริการ
HMW	    51310015	51310015	โบนัส-บริการ
HMW	    51310016	51310016	ค่าสวัสดิการพนักงาน-บริการ
HMW	    51310017	51310017	ค่ารักษาพยาบาล-บริการ
HMW	    51310018	51310018	เงินสมทบประกันสังคมนายจ้าง-บริการ
HMW	    51310019	51310019	ผลประโยชน์พนักงานหลังออกจากงาน-บริการ
HMW	    51310028	51310028	ค่าน้ำมันเชื้อเพลิง-บริการ
HMW	    51310032	51310032	ค่าใช้จ่ายในการเดินทาง-บริการ
HMW	    51310034	51310034	ค่าทำความสะอาด-บริการ
HMW	    51310043	51310043	กองทุนสำรองเลี้ยงชีพ-บริการ
HMW	    51310036	51310036	การอบรมและพัฒนาบุคลากร-บริการ
HMW	    51310048	51310048	เบี้ยเลี้ยงนักศึกษาฝึกงาน-บริการ
HMW	    51310050	51310050	เบี้ยขยัน-บริการ
HMW	    51310051	51310051	ค่าล่วงเวลา-บริการ
HMW	    51310053	51310053	ค่าแรงจูงใจพนักงาน-บริการ
HMW	    51310052	51310052	ผลประโยช์ของพนักงานอื่น-บริการ
CLIK	51310001	51310010	เงินเดือน/ค่าล่วงเวลา-บริการ
CLIK	51310003	51310013	ค่านายหน้า-บริการ
CLIK	51310004	51310014	เบี้ยเลี้ยง-บริการ
CLIK	51310005	51310015	โบนัส-บริการ
CLIK	51310006	51310016	ค่าสวัสดิการพนักงาน-บริการ
CLIK	51310007	51310017	ค่ารักษาพยาบาล-บริการ
CLIK	51310008	51310018	เงินสมทบประกันสังคมนายจ้าง-บริการ
CLIK	51310009	51310019	ผลประโยชน์พนักงานหลังออกจากงาน-บริการ
CLIK	51310018	51310028	ค่าน้ำมันเชื้อเพลิง-บริการ
CLIK	51310021	51310032	ค่าใช้จ่ายในการเดินทาง-บริการ
CLIK	51310022	51310033	ค่ารักษาความปลอดภัย-บริการ
CLIK	51310023	51310034	ค่าทำความสะอาด-บริการ
CLIK	51310031	51310043	กองทุนสำรองเลี้ยงชีพ-บริการ
CLIK	51310025	51310036	การอบรมและพัฒนาบุคลากร-บริการ
CLIK	51310035	51310035-1	ค่าที่พัก-บริการ
CLIK	51310048	51310048	เบี้ยเลี้ยงนักศึกษาฝึกงาน-บริการ
CLIK	51310050	51310050	เบี้ยขยัน-บริการ
CLIK	51310051	51310051	ค่าล่วงเวลา-บริการ
CLIK	51310053	51310053	ค่าแรงจูงใจพนักงาน-บริการ
CLIK	51310052	51310052	ผลประโยช์ของพนักงานอื่น-บริการ
HMW	    51310045	51310045	ค่าเสื่อมราคาสัญญาเช่า-บริการ
HMW	    51310033	51310045	ค่าเสื่อมราคาสัญญาเช่า-บริการ
HMW	    51310027	51310038	ค่าเสื่อมราคา-บริการ
HMW	    51310028	51310039	ค่าลิขสิทธิ์โปรแกรมตัดจ่าย-บริการ
HMW	    51310037	51310037	ค่าซ่อมแซมบำรุงรักษา-บริการ
HMW	    51310038	51310038	ค่าเสื่อมราคา-บริการ
HMW	    51310026	51310037	ค่าซ่อมแซมบำรุงรักษา-บริการ
HMW	    90000000	90000000	ภาษีเงินได้นิติบุคคล
CLIK	90000000	90000000	ภาษีเงินได้นิติบุคคล
HMW	    90000020	90000020	ค่าใช้จ่ายภาษีเงินได้รอตัดบัญชี
CLIK	90000002	90000020	ค่าใช้จ่ายภาษีเงินได้รอตัดบัญชี
ACG	    61210028	61210028	ค่าขนส่งพัสดุ-บริหาร
ACG	    61210029	61210029	ค่าทะเบียนภาษีรถยนต์-บริหาร
ACG	    61210031	61210031	ค่าเบี้ยประกันภัย-บริหาร
ACG	    61210036	61210036	ค่ารับรอง-บริหาร
ACG	    61210037	61210037	ค่าการกุศล-บริหาร
